PLAYER_ID,PLAYER,TEAM,Season,Month,Archetype,Category,USG_Pct,AST_Pct,ThreePt_Rate,Height_Inches,GP,MPG,PTS
1631105,Jalen Duren,DET,2024-25,october,Anchor Big,Big,11.9,16.9,0.0,82,5,25.5,8.6
1641710,Anthony Black,ORL,2024-25,october,Role Player,Role,14.9,24.4,26.47058823529412,79,5,25.6,8.4
1631106,Tari Eason,HOU,2024-25,october,3&D Wing,Wing,15.3,12.7,35.483870967741936,80,5,17.5,8.4
1641739,Toumani Camara,POR,2024-25,october,3&D Wing,Wing,11.7,14.3,40.0,79,5,29.9,8.4
1642261,Dalton Knecht,LAL,2024-25,october,Movement Shooter,Shooter,18.3,9.7,64.51612903225806,78,5,16.6,8.2
1630592,Jalen Wilson,BKN,2024-25,october,3&D Wing,Wing,12.5,9.8,62.5,78,5,21.9,8.2
1642347,Jamal Shead,TOR,2024-25,october,Role Player,Role,19.2,40.6,33.33333333333333,73,5,20.1,8.2
204456,T.J. McConnell,IND,2024-25,october,Secondary Ball Handler,Secondary,22.6,32.7,2.777777777777778,73,5,16.1,8.2
1641708,Amen Thompson,HOU,2024-25,october,Role Player,Role,18.4,8.8,21.42857142857143,79,5,20.5,8.0
1631117,Walker Kessler,UTA,2024-25,october,Anchor Big,Big,11.9,9.1,0.0,84,5,26.6,8.0
1642367,Jonathan Mogbo,TOR,2024-25,october,Role Player,Role,17.7,15.5,16.666666666666668,81,5,16.6,7.6
1627752,Taurean Prince,MIL,2024-25,october,3&D Wing,Wing,10.0,8.9,56.666666666666664,78,5,30.7,7.6
1631222,Jake LaRavia,SAC,2024-25,october,3&D Wing,Wing,13.6,15.8,33.33333333333333,79,6,25.3,7.5
1629645,Kevin Porter Jr.,MIL,2024-25,october,Secondary Ball Handler,Secondary,34.6,20.9,33.333333333333336,76,5,15.4,7.4
1630172,Patrick Williams,CHI,2024-25,october,3&D Wing,Wing,15.0,9.9,50.0,79,5,28.2,7.4
1629599,Amir Coffey,LAC,2024-25,october,Role Player,Role,10.8,5.6,41.66666666666667,79,5,21.3,7.0
1629614,Andrew Nembhard,IND,2024-25,october,Role Player,Role,16.8,28.1,25.71428571428572,76,5,25.3,7.0
